STOCK_CODE,YEAR,EP,BP,SP,CP,RETURN
APC,2017,576,276,113,236,1.593360996
APG,2017,7,627,15,,0.928213689
API,2017,,82,10,,
APP,2017,642,553,517,254,1.088888889
APS,2017,93,821,143,9,1.192307692
ARM,2017,286,78,447,91,1.566951567
ASA,2017,283,861,743,312,1.363636364
ASD,2017,785,879,904,,1.2
ASM,2017,178,282,122,358,0.720779221
ASP,2017,566,772,797,,2
ATA,2017,,,,,
ATG,2017,33,854,264,115,0.965665236
ATS,2017,137,319,302,161,3.795620438
AVF,2017,,,823,26,
B82,2017,10,783,879,588,0.764705882
BAM,2017,,,,,
BBC,2017,144,79,205,166,0.703389831
BBS,2017,427,555,708,118,0.755905512
BCC,2017,584,458,503,486,0.5
BCE,2017,214,669,671,,0.952380952
BCG,2017,126,708,573,513,1.28125
BCI,2017,,,,,
BCP,2017,225,516,416,,0.98019802
BDB,2017,374,461,612,23,0.339805825
BDW,2017,275,568,379,499,2.068493151
BED,2017,187,74,188,78,0.797297297
BFC,2017,571,102,555,413,1.017391304
BHP,2017,128,576,483,210,0.86440678
BHT,2017,,571,145,,
BHV,2017,,,,,
BIC,2017,79,92,73,19,0.921717172
BII,2017,163,838,265,,0.346153846
BKC,2017,234,706,467,483,1.466666667
BLF,2017,503,803,863,600,0.707317073
BLI,2017,110,632,422,98,1.046153846
BMC,2017,95,219,109,46,0.581589958
BMI,2017,230,313,285,57,1.098591549
BMJ,2017,603,348,249,187,0.833333333
BMP,2017,227,23,102,62,0.334467671
BPC,2017,704,542,668,164,0.979381443
BRC,2017,632,563,371,186,0.891891892
BSC,2017,114,347,318,,1.142857143
BSI,2017,398,343,171,573,1.163934426
BST,2017,354,346,595,77,0.888888889
BT6,2017,,,,,
BTC,2017,,5,2,,
BTG,2017,108,776,760,302,0.909090909
BTH,2017,,,,,
BTP,2017,554,545,451,150,0.848708487
BTS,2017,441,584,605,224,0.595238095
BTT,2017,235,230,236,300,0.87804878
BTW,2017,217,396,556,401,0.993506494
BVG,2017,,870,829,595,
BVH,2017,92,43,134,143,1.596283784
BVN,2017,429,655,742,582,2.133333333
BVS,2017,334,536,63,,1.222222222
BWA,2017,254,564,286,208,1.30952381
BXH,2017,433,305,586,253,0.597285068
C21,2017,,,,,
C32,2017,672,244,266,290,0.755060729
C47,2017,180,626,803,,1.391304348
C71,2017,533,469,782,,0.926605505
C92,2017,115,423,724,,0.869565217
CAD,2017,,,,,
CAN,2017,3,435,642,,1.308411215
CAP,2017,513,96,460,379,1.034161491
CAV,2017,510,73,559,117,0.791277259
CCI,2017,425,477,341,151,1.196850394
CCL,2017,133,826,210,556,1.478873239
CCM,2017,749,717,710,509,1.865671642
CCR,2017,41,125,53,122,0.857142857
CDC,2017,268,489,347,,1.330909091
CDN,2017,281,140,101,227,0.819327731
CDO,2017,701,766,313,,0.330210773
CEC,2017,284,330,514,,0.458823529
CEO,2017,538,429,310,80,1.176470588
CFC,2017,5,740,697,,1.73015873
CGP,2017,716,53,674,466,1.233766234
CHP,2017,344,172,59,213,1.056768559
CI5,2017,653,491,867,,0.9
CID,2017,,,,,
CIG,2017,74,782,192,,1.088888889
CII,2017,308,52,25,,0.820954907
CJC,2017,161,210,580,447,0.55952381
CKD,2017,547,246,478,,1.125
CKV,2017,257,596,622,270,1.594202899
CLC,2017,557,118,485,247,0.57
CLG,2017,662,790,748,586,0.873809524
CLH,2017,651,335,670,382,0.916666667
CLL,2017,368,217,89,216,1.204545455
CLM,2017,261,338,830,474,0.979591837
CLW,2017,129,337,648,387,1
CMC,2017,68,764,195,,1.12
CMG,2017,521,366,666,307,2.20979021
CMI,2017,,586,8,,
CMK,2017,422,488,843,,0.912280702
CMS,2017,61,638,571,,0.625
CMT,2017,220,505,651,,0.735294118
CMV,2017,385,243,869,,1.144278607
CMX,2017,,98,870,561,
CNC,2017,323,60,235,272,1.026829268
CNG,2017,529,148,280,346,0.8921875
CNH,2017,34,407,54,,1.17
CNT,2017,,,840,607,
COM,2017,443,91,606,,0.823188406
CPC,2017,393,267,426,175,1.383141762
CSC,2017,145,57,255,10,0.703812317
CSM,2017,518,222,390,,0.729591837
CSV,2017,562,151,323,383,1.39965096
CT3,2017,697,752,784,418,1.092307692
CT6,2017,205,769,745,318,1.444444444
CTA,2017,,814,399,458,
CTB,2017,401,173,522,593,0.964187328
CTC,2017,,642,523,233,
CTD,2017,337,65,339,92,0.754059217
CTI,2017,327,166,231,177,1.192041522
CTN,2017,,,,,
CTP,2017,276,277,293,,0.503030303
CTS,2017,383,539,79,,1.56741573
CTT,2017,537,575,895,581,0.802469136
CTX,2017,43,474,174,410,1.505555556
CVN,2017,,759,337,74,
CVT,2017,586,58,281,389,0.91087344
CX8,2017,194,565,744,,1.075268817
CYC,2017,,599,775,579,
CZC,2017,223,716,853,,1.568965517
D11,2017,37,483,353,,1.314516129
D2D,2017,435,332,260,485,1.852380952
DAC,2017,,,,,
DAD,2017,630,326,381,433,1.091463415
DAE,2017,691,508,545,220,1.006097561
DAG,2017,414,375,524,162,0.63878327
DAH,2017,512,604,230,313,0.641428571
DAP,2017,740,501,693,490,0.485714286
DAS,2017,457,799,815,602,1
DAT,2017,99,153,305,,1.101382488
DBC,2017,700,384,519,188,0.696594427
DBM,2017,673,579,774,,1.611111111
DBT,2017,698,392,665,391,0.964705882
DC2,2017,676,656,786,494,0.970149254
DC4,2017,596,698,706,400,1.583333333
DCD,2017,119,264,473,163,0.6
DCL,2017,248,129,167,50,0.849785408
DCM,2017,415,433,246,331,1.172248804
DCS,2017,299,853,362,473,0.708333333
DCT,2017,,,,,
DDM,2017,,,811,384,
DDN,2017,721,460,885,519,0.815217391
DDV,2017,,422,342,512,
DGC,2017,551,146,360,325,0.823684211
DGL,2017,381,117,334,322,0.842391304
DGT,2017,56,812,750,613,1.964285714
DGW,2017,575,498,764,438,1.487951807
DHA,2017,458,274,128,41,0.979591837
DHC,2017,395,193,224,,1.223684211
DHG,2017,176,21,85,87,0.802023121
DHM,2017,311,727,756,,0.601980198
DHP,2017,622,621,544,49,1.23655914
DHT,2017,340,36,448,133,0.703898841
DIC,2017,208,573,807,,0.8
DID,2017,497,718,766,427,0.818181818
DIG,2017,87,535,164,,2.964244521
DIH,2017,369,609,752,578,1.108108108
DL1,2017,224,379,284,,3.761061947
DLD,2017,,495,327,219,
DLG,2017,313,816,596,48,0.996835443
DLR,2017,,227,336,563,
DLT,2017,764,602,899,603,0.846715328
DMC,2017,172,31,117,60,1.090512541
DNC,2017,460,81,488,137,1.057401813
DNL,2017,358,314,197,232,0.949640288
DNM,2017,572,272,484,114,0.884955752
DNP,2017,502,180,436,,0.745967742
DNS,2017,768,514,737,,1.5
DNY,2017,408,660,819,594,1
DOP,2017,522,415,242,397,0.918918919
DP3,2017,428,179,287,119,2.218844985
DPC,2017,113,176,277,168,0.45
DPM,2017,438,318,234,327,0.907216495
DPP,2017,507,399,682,,0.855263158
DPR,2017,206,494,144,282,0.995024876
DPS,2017,718,843,856,,0.653846154
DQC,2017,407,201,163,229,0.595628415
DRC,2017,448,88,258,241,0.96
DRH,2017,184,133,20,,0.748
DRL,2017,335,48,36,184,1.364303178
DSN,2017,445,34,68,145,0.939044481
DST,2017,8,77,23,,0.133603239
DTA,2017,17,832,172,,2.807692308
DTC,2017,771,,725,107,1.452631579
DTL,2017,365,141,396,33,1.953900709
DTN,2017,396,587,717,,0.333333333
DTT,2017,367,585,384,,1.15
DTV,2017,767,693,792,344,2.186666667
DVC,2017,713,611,607,370,0.888888889
DVH,2017,695,3,639,437,0.805555556
DVP,2017,431,45,61,201,0.876258993
DXG,2017,417,208,138,,1.766990291
DXL,2017,,860,480,,
DXP,2017,389,284,72,81,0.829411765
DXV,2017,467,746,805,487,0.793877551
DZM,2017,750,624,662,,0.247863248
EBS,2017,476,531,420,206,1.075268817
ECI,2017,463,476,477,267,0.9
EFI,2017,195,688,46,12,0.486842105
EID,2017,640,428,486,230,0.932432432
ELC,2017,302,254,316,211,0.569915254
EMC,2017,20,232,386,323,1.080385852
EVE,2017,413,434,268,124,0.788018433
FBA,2017,,,,,
FCM,2017,667,699,561,,1.02722323
FCN,2017,654,420,479,,1.081424936
FDC,2017,,145,77,,
FDG,2017,,,,,
FDT,2017,150,39,657,93,1.12
FID,2017,332,869,491,,1.529411765
FIT,2017,437,739,475,,1.357142857
FLC,2017,731,612,314,489,0.765931373
FMC,2017,669,310,699,52,1.603133159
FPT,2017,375,94,419,333,1.283298097
G20,2017,747,791,735,,0.405405405
GAS,2017,240,61,166,71,2.389090909
GDT,2017,478,37,111,154,0.801724138
GDW,2017,307,443,597,385,1.258992806
GER,2017,757,862,837,477,1.64
GEX,2017,598,290,474,66,1.701877934
GHC,2017,468,108,41,200,1.206451613
GIL,2017,496,212,417,152,0.908382066
GLT,2017,232,25,99,146,1.441441441
GMC,2017,599,211,618,374,0.922535211
GMD,2017,216,311,173,226,0.888728324
GMX,2017,658,188,382,520,1
GSM,2017,355,431,141,284,1.092783505
GSP,2017,531,419,567,240,1.131687243
GTA,2017,318,496,625,476,1.125984252
GTH,2017,255,778,872,,1.651162791
GTN,2017,15,247,132,32,0.657232704
GTT,2017,,,,,
H11,2017,106,368,661,,0.763779528
HAD,2017,430,444,344,326,1.513888889
HAG,2017,,659,263,320,
HAH,2017,615,207,158,328,0.41221374
HAI,2017,543,792,616,406,1.201591512
HAP,2017,253,815,471,365,1.054755043
HAR,2017,183,785,60,165,2.471910112
HAS,2017,744,702,723,,1.194936709
HAT,2017,580,63,700,,1.143678161
HAX,2017,420,64,620,,0.681818182
HBC,2017,442,35,439,103,0.777003484
HBD,2017,482,321,37,73,0.831521739
HBE,2017,372,594,530,194,1.2
HBS,2017,66,817,26,376,0.78125
HCC,2017,646,138,516,329,0.528125
HCD,2017,694,583,716,422,0.998780488
HCI,2017,532,662,232,,0.523255814
HCM,2017,246,174,50,,2.466049383
HCT,2017,107,465,528,,1.116022099
HDA,2017,539,451,349,293,0.752212389
HDC,2017,453,533,272,,1.415525114
HDG,2017,466,155,262,106,1.722319859
HDM,2017,606,261,692,179,0.926829268
HDO,2017,,784,740,315,
HEV,2017,525,512,401,159,0.93495935
HFC,2017,659,323,888,,0.599206349
HGM,2017,121,122,52,88,0.985380117
HHA,2017,356,130,444,190,2.555555556
HHC,2017,168,114,326,178,2.357142857
HHG,2017,618,468,269,104,0.56
HHS,2017,469,745,333,480,0.846652268
HIG,2017,202,798,643,479,1.413043478
HJC,2017,25,697,762,596,0.5
HJS,2017,295,296,135,334,1.39375
HKB,2017,715,650,490,7,0.349206349
HLA,2017,,,498,524,
HLC,2017,711,502,810,,0.715789474
HLD,2017,710,665,147,,1.56
HLG,2017,770,479,753,539,1.005144033
HLY,2017,699,481,529,355,0.825396825
HMC,2017,760,597,822,472,1.538095238
HMH,2017,690,595,194,39,0.765151515
HNB,2017,96,104,165,158,0.608333333
HNF,2017,229,162,527,336,1.388888889
HNG,2017,,450,159,134,
HNM,2017,49,620,403,,0.5625
HOM,2017,352,715,604,441,0.629032258
HOT,2017,164,128,227,269,1.356238698
HPB,2017,608,581,695,451,0.590062112
HPD,2017,219,374,100,304,1.111111111
HPG,2017,756,280,340,404,1.977086743
HPP,2017,712,144,301,354,0.908928571
HPT,2017,563,607,868,577,0.941176471
HQC,2017,62,819,250,,0.853383459
HRC,2017,9,112,18,1,0.609333333
HSG,2017,703,109,449,,0.460606061
HSI,2017,773,,897,601,1.25
HST,2017,339,641,690,139,1.0625
HT1,2017,321,202,271,215,0.658482143
HTC,2017,719,189,641,112,0.838414634
HTI,2017,515,333,243,303,0.886486486
HTL,2017,402,76,472,120,0.685527748
HTP,2017,105,215,110,72,0.293103448
HTV,2017,409,589,244,501,1.00621118
HU1,2017,173,770,729,,1.617886179
HU3,2017,631,672,728,,1.5
HU6,2017,629,513,279,,0.86
HUT,2017,685,401,306,407,0.666666667
HVA,2017,371,846,409,,1.357142857
HVG,2017,,630,832,550,
HVT,2017,363,100,440,368,1.689655172
HVX,2017,287,695,663,521,0.769230769
ICF,2017,,851,578,516,
ICG,2017,124,668,32,,0.847222222
ICI,2017,18,561,761,587,1.034482759
ICN,2017,353,169,496,585,1.591666667
IDI,2017,481,747,678,,3.004291845
IDJ,2017,,852,121,75,
IDV,2017,674,29,67,469,0.625239006
IHK,2017,477,349,730,440,1.126760563
IJC,2017,192,518,238,83,1.25
IME,2017,597,361,599,409,0.520547945
IMP,2017,157,120,156,63,0.943113772
IN4,2017,520,149,276,566,1.707317073
INC,2017,378,737,463,251,2.315789474
INN,2017,410,95,338,351,0.97480315
ISH,2017,135,395,91,279,1.227272727
ITA,2017,32,775,14,25,0.744416873
ITC,2017,98,601,76,,1.056338028
ITD,2017,650,192,418,306,0.431444241
ITQ,2017,53,802,694,403,0.9375
ITS,2017,70,753,894,,0.644444444
IVS,2017,2,324,12,,0.796610169
JSC,2017,,,,,
JVC,2017,,528,324,144,
KAC,2017,262,275,127,129,1.024767802
KBC,2017,305,445,74,231,0.89
KBE,2017,552,389,679,277,1.046511628
KCB,2017,789,858,680,564,1.166666667
KCE,2017,745,464,558,500,1.028089888
KDC,2017,461,159,55,,0.911904762
KDH,2017,218,183,193,335,1.429980276
KDM,2017,89,765,518,555,0.634146341
KHA,2017,324,327,27,197,0.876712329
KHB,2017,,873,383,,
KHL,2017,,875,450,527,
KHP,2017,534,520,765,504,0.862162162
KKC,2017,781,441,709,511,0.767857143
KLF,2017,22,834,459,18,0.923076923
KMR,2017,104,738,391,341,0.891304348
KMT,2017,177,544,883,,0.977777778
KPF,2017,245,534,218,,3.617283951
KSA,2017,118,866,366,,0.434065934
KSB,2017,723,221,259,377,0.988650694
KSD,2017,559,742,487,299,1.212121212
KSH,2017,23,859,162,615,0.754385965
KSK,2017,,878,701,425,
KSQ,2017,76,867,375,,0.944444444
KSS,2017,,,,,
KST,2017,666,616,738,537,1.495798319
KTB,2017,,,,,
KTL,2017,628,430,549,,1.341463415
KTS,2017,714,175,311,,0.475
KTT,2017,109,755,707,,1.43902439
KVC,2017,601,849,660,,1
L10,2017,709,600,787,,1.14
L14,2017,322,38,220,,1.06
L18,2017,687,728,892,,0.818181818
L35,2017,647,779,859,,0.980392157
L43,2017,63,829,806,,0.649122807
L44,2017,,839,884,540,
L61,2017,692,733,854,,1.920454545
L62,2017,298,744,779,,1.071428571
LAF,2017,614,404,687,518,0.845833333
LAI,2017,456,383,307,548,0.62987013
LAS,2017,359,336,526,2,1.053435115
LAW,2017,270,309,200,296,0.957142857
LBE,2017,509,470,613,,0.9375
LBM,2017,625,163,282,308,1.029810298
LCD,2017,759,743,834,,0.945205479
LCG,2017,450,648,430,266,1.271076524
LCM,2017,,872,427,583,
LCS,2017,82,749,720,,1.314285714
LDG,2017,728,557,178,350,2.641921397
LDP,2017,303,62,446,56,0.698666667
LGC,2017,266,150,21,8,0.766666667
LGL,2017,423,736,348,,1.32231405
LHC,2017,505,306,469,442,0.8896
LHG,2017,762,484,239,495,1.069767442
LIG,2017,123,691,638,,0.8
LIX,2017,397,30,317,127,0.930693069
LKW,2017,725,492,290,436,1.072580645
LM3,2017,,,594,,
LM7,2017,67,842,833,505,1.344827586
LM8,2017,722,497,751,,0.989837398
LO5,2017,48,828,875,,1.236842105
LSS,2017,639,631,493,386,0.688973384
LTC,2017,,844,767,,
LUT,2017,75,840,731,,0.8
MAC,2017,707,562,367,,0.920454545
MAS,2017,583,15,273,343,0.76011846
MBG,2017,748,756,813,408,0.5
MBS,2017,78,646,202,,3.049180328
MCC,2017,610,342,216,314,0.9
MCF,2017,399,393,603,67,0.986666667
MCG,2017,251,856,507,424,1.285714286
MCI,2017,,,602,,
MCO,2017,39,874,808,604,1
MCP,2017,149,119,253,242,1.052631579
MDC,2017,616,696,857,,0.849056604
MDF,2017,112,448,270,,0.909090909
MDG,2017,117,352,443,349,0.902097902
MEC,2017,,865,855,,
MEF,2017,794,881,907,618,1.333333333
MHC,2017,763,741,97,,0.9390625
MHL,2017,772,689,861,481,1.063492063
MIC,2017,330,507,673,136,0.85106383
MIM,2017,670,768,773,559,4.962962963
MKV,2017,80,198,297,,0.666666667
MNC,2017,471,713,852,597,0.796296296
MPC,2017,,,,,
MPT,2017,247,694,377,,0.549019608
MSN,2017,301,80,320,203,2.412327311
MSR,2017,28,386,95,167,1.81097561
MST,2017,143,421,226,,0.301886792
MTA,2017,293,808,635,,0.612903226
MTC,2017,42,437,183,36,0.989795918
MTG,2017,517,818,781,503,1.428571429
MTH,2017,527,355,415,,0.547717842
MTP,2017,581,408,878,,1.012658228
MWG,2017,226,11,402,,0.670231729
NAF,2017,182,86,150,,0.51
NAG,2017,619,707,681,,1.12962963
NAP,2017,278,382,198,260,0.964912281
NAV,2017,,475,378,522,
NBB,2017,131,424,6,31,0.906862745
NBC,2017,577,644,689,,1.076923077
NBP,2017,394,549,601,459,1
NBW,2017,152,224,482,,0.813333333
NCS,2017,404,20,221,204,0.842735043
NCT,2017,511,13,82,214,1.170454545
ND2,2017,485,259,170,205,1.272727273
NDC,2017,592,390,421,502,1.274900398
NDF,2017,,825,476,533,
NDN,2017,487,560,228,332,2.142857143
NDP,2017,665,356,454,484,1.174377224
NDX,2017,613,426,548,263,1.352941176
NET,2017,470,68,315,286,0.778125
NFC,2017,244,248,452,445,0.529411765
NGC,2017,607,509,841,538,1.333333333
NHA,2017,528,398,300,89,1.034482759
NHC,2017,536,135,303,,1.089552239
NHP,2017,197,774,404,,0.421052632
NKG,2017,720,187,593,17,0.782716049
NLG,2017,346,225,199,,1.39245283
NMK,2017,724,452,768,96,0.748427673
NNC,2017,627,47,136,174,0.629032258
NNG,2017,44,504,582,,1.052083333
NNT,2017,648,297,237,262,1.047058824
NPH,2017,47,406,4,86,1.084615385
NPS,2017,,524,358,160,
NQB,2017,64,414,107,101,0.99
NSC,2017,432,168,240,352,1.067980296
NST,2017,501,487,727,243,1.379310345
NT2,2017,516,156,247,375,0.977777778
NTL,2017,462,592,203,,0.961538462
NTP,2017,236,42,219,128,0.794871795
NTW,2017,273,258,155,172,0.746268657
NVT,2017,256,827,274,311,2.410377358
OCH,2017,,377,248,222,
OGC,2017,,614,547,288,
ONE,2017,717,676,835,507,0.803030303
OPC,2017,252,103,223,181,1.382926829
ORS,2017,,402,43,,
PAC,2017,553,70,361,250,1.267217631
PAN,2017,209,143,180,70,1.509302326
PBP,2017,593,413,538,411,0.939393939
PC1,2017,418,241,283,,0.859007833
PCE,2017,655,397,839,,0.656441718
PCG,2017,6,523,557,,0.964705882
PCT,2017,336,462,649,461,0.888888889
PDB,2017,656,265,495,111,0.52020202
PDC,2017,306,730,241,371,1.095238095
PDN,2017,326,131,168,281,1.467336683
PDR,2017,237,235,124,,2.311614731
PEC,2017,,722,789,,
PEN,2017,638,657,691,,1.075268817
PEQ,2017,788,734,890,580,3.975903614
PET,2017,652,603,820,359,0.981481481
PFL,2017,45,863,275,,0.8
PGC,2017,506,345,550,258,1.191729323
PGD,2017,210,69,351,218,0.955128205
PGI,2017,166,147,321,301,0.77593361
PGS,2017,775,453,713,221,1.818181818
PGT,2017,,762,98,,
PHC,2017,419,521,816,,1.333333333
PHH,2017,174,357,521,,0.833333333
PHP,2017,300,223,133,289,0.815286624
PHR,2017,304,417,161,225,1.730337079
PIC,2017,,,,,
PIT,2017,277,651,891,,0.788732394
PIV,2017,171,234,288,,0.254658385
PJC,2017,504,228,703,394,1.648
PJS,2017,213,454,525,392,1.047244094
PJT,2017,758,485,611,463,1.189427313
PLC,2017,333,191,462,415,0.765124555
PMB,2017,434,378,780,464,0.666666667
PMC,2017,319,46,169,84,0.858257477
PMP,2017,541,344,644,,0.982352941
PMS,2017,588,257,576,,0.50617284
PMT,2017,181,750,736,,0.758064516
PNC,2017,55,263,647,439,1.535564854
PNJ,2017,196,14,309,,2.7176781
POM,2017,514,425,617,414,1.319852941
POT,2017,201,329,600,558,0.978835979
POV,2017,198,608,844,309,0.808080808
PPC,2017,377,358,289,,1.11627907
PPE,2017,,170,16,361,
PPG,2017,,,,,
PPI,2017,,831,428,530,
PPP,2017,366,351,372,180,0.748148148
PPS,2017,634,455,759,,0.769230769
PPY,2017,561,298,799,261,1.051724138
PRC,2017,567,500,704,35,0.92039801
PRO,2017,668,685,257,,0.909090909
PSB,2017,13,751,207,,0.804347826
PSC,2017,472,449,614,421,1.025806452
PSD,2017,679,218,866,569,0.91954023
PSE,2017,548,456,864,478,0.852173913
PSI,2017,50,635,62,,0.694915254
PSL,2017,582,226,191,237,0.586792453
PSP,2017,40,567,152,37,0.92
PSW,2017,524,466,836,339,0.745454545
PTB,2017,296,26,332,30,0.802189781
PTC,2017,746,719,591,,1.127777778
PTD,2017,706,467,793,373,0.72972973
PTG,2017,793,882,906,617,2.142857143
PTH,2017,753,729,902,517,1.302325581
PTI,2017,159,301,298,278,0.831578947
PTK,2017,,,,,
PTL,2017,14,801,93,47,1.32962963
PTM,2017,,204,175,207,
PTP,2017,292,645,531,497,0.939130435
PTS,2017,578,773,763,462,1
PTT,2017,267,690,826,319,1.38
PV2,2017,,789,96,,
PVA,2017,791,679,634,276,0.75
PVB,2017,,613,3,547,
PVC,2017,,705,771,,
PVD,2017,59,636,209,245,0.952618454
PVE,2017,678,622,718,,1
PVG,2017,11,682,850,541,1.457142857
PVI,2017,241,340,186,4,1.2625
PVL,2017,153,723,1,121,0.724137931
PVR,2017,,830,80,,
PVS,2017,540,530,494,,1.198863636
PVT,2017,446,400,424,446,1.609375
PVV,2017,,850,688,255,
PVX,2017,351,546,817,528,0.954545455
PX1,2017,741,270,619,430,0.917431193
PXA,2017,,486,412,,
PXI,2017,,810,696,,
PXL,2017,,,,,
PXM,2017,,,631,,
PXS,2017,612,525,502,529,0.685714286
PXT,2017,779,418,715,,0.899224806
QBS,2017,94,686,831,,1.051693405
QCC,2017,708,712,533,506,1.283783784
QCG,2017,85,720,252,257,2.109375
QHD,2017,688,165,373,360,0.456338028
QNC,2017,,684,871,606,
QPH,2017,783,380,114,268,1.215277778
QST,2017,449,325,598,113,0.757142857
QTC,2017,568,250,458,238,0.87755102
RAL,2017,380,136,505,402,1.357487923
RBC,2017,71,371,581,,1.042857143
RCD,2017,786,317,669,545,0.469333333
RCL,2017,221,517,94,,0.848214286
RDP,2017,661,519,608,274,1.432525952
REE,2017,565,316,126,141,1.380952381
RIC,2017,,618,139,259,
ROS,2017,21,4,9,,0.822669104
S12,2017,,,,,
S33,2017,,,,,
S4A,2017,364,195,81,244,1.475409836
S55,2017,738,540,387,,0.539845758
S74,2017,,793,714,605,
S96,2017,,877,,,
S99,2017,309,732,376,567,1.04
SAF,2017,199,22,431,43,1.020618557
SAM,2017,54,574,294,395,0.806451613
SAP,2017,,87,148,6,
SAS,2017,228,84,177,14,1.188461538
SAV,2017,88,667,677,544,1.063829787
SBA,2017,289,308,70,264,1.100719424
SBS,2017,,543,123,412,
SBT,2017,147,110,208,,0.712550607
SC5,2017,392,300,624,,0.981132075
SCD,2017,329,178,304,22,0.51627907
SCI,2017,249,704,722,24,1.1
SCJ,2017,,871,705,,
SCL,2017,57,795,413,353,0.804878049
SCO,2017,754,,889,570,2.086956522
SCR,2017,406,652,130,171,1.641791045
SD1,2017,,,,,
SD2,2017,342,666,758,,0.602564103
SD3,2017,526,794,686,,0.440677966
SD4,2017,734,537,755,,0.857142857
SD5,2017,549,670,702,498,1
SD6,2017,636,623,553,3,0.850574713
SD7,2017,,771,610,,
SD8,2017,,,,,
SD9,2017,489,761,470,390,1.037974684
SDA,2017,,787,129,576,
SDB,2017,146,,847,609,1
SDC,2017,382,566,434,,0.993103448
SDD,2017,,847,423,523,
SDE,2017,,837,615,,
SDG,2017,348,167,453,100,0.8
SDH,2017,,2,49,142,
SDI,2017,493,89,56,426,1.727580372
SDJ,2017,127,12,632,,1
SDK,2017,620,209,468,338,1.142857143
SDN,2017,508,177,537,342,0.985714286
SDP,2017,191,692,726,417,0.391304348
SDT,2017,726,748,623,,0.846153846
SDU,2017,46,411,389,,0.761904762
SDV,2017,347,273,364,305,0.666666667
SDY,2017,,33,352,,
SEB,2017,560,121,103,294,1.789655172
SED,2017,660,320,515,82,0.915
SFC,2017,488,206,585,140,0.753267974
SFG,2017,587,353,629,444,0.996138996
SFI,2017,644,365,385,223,0.882445141
SFN,2017,483,196,400,310,1.254416961
SGC,2017,260,41,215,108,1.847195358
SGD,2017,370,506,584,448,1.018518519
SGH,2017,65,66,24,38,0.915254237
SGN,2017,155,6,66,99,0.773480663
SGO,2017,207,876,827,,0.928571429
SGR,2017,730,54,225,265,0.413571429
SGS,2017,600,526,213,193,2.021276596
SGT,2017,609,556,433,589,1.363636364
SHA,2017,742,572,609,,0.79185022
SHC,2017,,,,,
SHI,2017,737,615,672,94,0.732142857
SHN,2017,412,442,115,11,0.933962264
SHP,2017,179,214,75,234,1.154040404
SHS,2017,459,552,206,,2.864197531
SIC,2017,780,675,137,,1.811594203
SII,2017,72,181,35,,0.75464684
SJ1,2017,480,294,659,,1.235955056
SJC,2017,,758,57,,
SJD,2017,499,339,83,228,0.876893939
SJE,2017,373,403,535,131,0.915254237
SJS,2017,203,289,48,,1.111524164
SKG,2017,341,32,30,148,0.359269283
SLS,2017,555,28,142,246,0.634408602
SMA,2017,116,569,568,575,1.707006369
SMB,2017,416,124,254,285,1.03630363
SMC,2017,782,354,842,,1.089147287
SMN,2017,729,570,796,,1.119565217
SMT,2017,360,291,560,,1.103626943
SNC,2017,162,515,865,,0.913043478
SPC,2017,464,287,627,475,1.266055046
SPD,2017,316,643,838,,1.060606061
SPH,2017,132,239,509,456,0.892215569
SPI,2017,125,855,407,572,1.130434783
SPM,2017,120,806,456,420,0.923566879
SPP,2017,190,266,520,,0.271317829
SQC,2017,,,,,
SRA,2017,605,283,181,196,1
SRB,2017,,,,,
SRC,2017,604,262,429,488,0.865102639
SRF,2017,498,190,406,,0.548387097
SSC,2017,130,75,153,275,1.211267606
SSF,2017,,,108,,
SSI,2017,269,200,47,59,1.635220126
SSM,2017,447,387,497,,0.844311377
SSN,2017,451,171,5,,0.89
ST8,2017,314,90,500,130,0.551515152
STC,2017,200,203,441,170,1.026666667
STG,2017,140,99,187,34,0.87173913
STK,2017,97,253,355,337,0.870967742
STP,2017,490,811,733,317,0.925925926
STS,2017,111,126,190,321,0.431111111
STT,2017,,59,204,,
STU,2017,681,661,588,,0.888888889
STV,2017,635,279,261,,0.452
SVC,2017,391,251,825,,0.893280632
SVI,2017,486,182,501,185,0.954545455
SVN,2017,170,823,365,,0.75862069
SVT,2017,24,538,149,,0.7328844
SWC,2017,141,245,31,,0.580645161
SZL,2017,590,268,116,467,0.974540311
TA9,2017,643,197,828,534,0.610859729
TAC,2017,136,40,512,90,0.648550725
TAG,2017,83,44,675,,0.983098592
TBC,2017,274,164,34,149,1.025641026
TBD,2017,349,106,564,,0.985416667
TBT,2017,,,292,,
TBX,2017,160,577,664,531,0.9
TC6,2017,19,711,881,,1.063829787
TCH,2017,233,233,51,64,1.179487179
TCL,2017,591,367,343,109,0.966666667
TCM,2017,403,322,541,366,1.120092379
TCO,2017,579,463,229,316,1.304761905
TCR,2017,645,804,772,562,0.687356322
TCS,2017,31,709,896,,1.063829787
TCT,2017,357,49,45,176,1.140350877
TDC,2017,686,639,457,280,1.297101449
TDH,2017,440,637,296,283,1.120879121
TDN,2017,279,735,862,432,1.106382979
TDS,2017,,532,,542,
TDW,2017,154,205,534,,0.846456693
TET,2017,73,72,64,,0.888888889
TFC,2017,30,619,554,,0.720588235
TGP,2017,617,376,851,,0.580152672
TH1,2017,,132,570,,
THB,2017,188,438,532,27,1.016483516
THG,2017,594,101,363,468,0.819838057
THS,2017,735,598,802,455,1.111111111
